site_id,site_label,cluster_id,cluster_label,cluster_family,cluster_scale,region_id,source_selection_id,site_status,maturity,enabled,x,y,area_km2,site_tags,cluster_tags,tags,resolved_paths_json,planned_case_count,skipped_case_count,executed_case_count,reused_case_count,failed_case_count,recipes_planned,recipes_skipped
s3_10km2_outlet_10,Strahler 3 10 km2 outlet 10,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,305025.0,6738675.0,10.006875,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,"{""mesh_output_mesh"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_10\\mesh_catchment_outlet_10.msh"", ""mesh_summary_json"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_10\\mesh_catchment_outlet_10_summary.json"", ""mesh_bundle_dir"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_10\\mesh_catchment_outlet_10_bundle"", ""mesh_figure"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_10\\mesh_catchment_outlet_10.png"", ""mesh_figure_regional"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_10\\mesh_catchment_outlet_10_regional.png"", ""simulation_reference_config"": ""C:\\codes\\HydroModPy-GH\\reporting\\regional_lab_pilot_2026-04-12\\child_configs\\run_s3_10km2_outlet_10_boussinesq_local_mesh_replay.toml""}",1,0,0,0,0,s3_future_reference,
s3_10km2_outlet_11,Strahler 3 10 km2 outlet 11,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,380475.0,6703200.0,10.006875,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,"{""mesh_output_mesh"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_11\\mesh_catchment_outlet_11.msh"", ""mesh_summary_json"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_11\\mesh_catchment_outlet_11_summary.json"", ""mesh_bundle_dir"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_11\\mesh_catchment_outlet_11_bundle"", ""mesh_figure"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_11\\mesh_catchment_outlet_11.png"", ""mesh_figure_regional"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_11\\mesh_catchment_outlet_11_regional.png"", ""simulation_reference_config"": ""C:\\codes\\HydroModPy-GH\\reporting\\regional_lab_pilot_2026-04-12\\child_configs\\run_s3_10km2_outlet_11_boussinesq_local_mesh_replay.toml""}",1,0,0,0,0,s3_future_reference,
s3_10km2_outlet_12,Strahler 3 10 km2 outlet 12,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,430125.0,6682950.0,10.006875,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,"{""mesh_output_mesh"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_12\\mesh_catchment_outlet_12.msh"", ""mesh_summary_json"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_12\\mesh_catchment_outlet_12_summary.json"", ""mesh_bundle_dir"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_12\\mesh_catchment_outlet_12_bundle"", ""mesh_figure"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_12\\mesh_catchment_outlet_12.png"", ""mesh_figure_regional"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_12\\mesh_catchment_outlet_12_regional.png"", ""simulation_reference_config"": ""C:\\codes\\HydroModPy-GH\\reporting\\regional_lab_pilot_2026-04-12\\child_configs\\run_s3_10km2_outlet_12_boussinesq_local_mesh_replay.toml""}",1,0,0,0,0,s3_future_reference,
s3_10km2_outlet_13,Strahler 3 10 km2 outlet 13,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,364275.0,6950625.0,10.00125,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,"{""mesh_output_mesh"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_13\\mesh_catchment_outlet_13.msh"", ""mesh_summary_json"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_13\\mesh_catchment_outlet_13_summary.json"", ""mesh_bundle_dir"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_13\\mesh_catchment_outlet_13_bundle"", ""mesh_figure"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_13\\mesh_catchment_outlet_13.png"", ""mesh_figure_regional"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_13\\mesh_catchment_outlet_13_regional.png"", ""simulation_reference_config"": ""C:\\codes\\HydroModPy-GH\\reporting\\regional_lab_pilot_2026-04-12\\child_configs\\run_s3_10km2_outlet_13_boussinesq_local_mesh_replay.toml""}",1,0,0,0,0,s3_future_reference,
s3_10km2_outlet_14,Strahler 3 10 km2 outlet 14,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,427875.0,6895125.0,10.00125,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,"{""mesh_output_mesh"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_14\\mesh_catchment_outlet_14.msh"", ""mesh_summary_json"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_14\\mesh_catchment_outlet_14_summary.json"", ""mesh_bundle_dir"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_14\\mesh_catchment_outlet_14_bundle"", ""mesh_figure"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_14\\mesh_catchment_outlet_14.png"", ""mesh_figure_regional"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_14\\mesh_catchment_outlet_14_regional.png"", ""simulation_reference_config"": ""C:\\codes\\HydroModPy-GH\\reporting\\regional_lab_pilot_2026-04-12\\child_configs\\run_s3_10km2_outlet_14_boussinesq_local_mesh_replay.toml""}",1,0,0,0,0,s3_future_reference,
s3_10km2_outlet_2,Strahler 3 10 km2 outlet 2,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,430650.0,6741675.0,10.29375,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,"{""mesh_output_mesh"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_2\\mesh_catchment_outlet_2.msh"", ""mesh_summary_json"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_2\\mesh_catchment_outlet_2_summary.json"", ""mesh_bundle_dir"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_2\\mesh_catchment_outlet_2_bundle"", ""mesh_figure"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_2\\mesh_catchment_outlet_2.png"", ""mesh_figure_regional"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_2\\mesh_catchment_outlet_2_regional.png"", ""simulation_reference_config"": ""C:\\codes\\HydroModPy-GH\\reporting\\regional_lab_pilot_2026-04-12\\child_configs\\run_s3_10km2_outlet_2_boussinesq_local_mesh_replay.toml""}",1,0,0,0,0,s3_future_reference,
s3_10km2_outlet_6,Strahler 3 10 km2 outlet 6,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,392175.0,6935775.0,10.0125,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,"{""mesh_output_mesh"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_6\\mesh_catchment_outlet_6.msh"", ""mesh_summary_json"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_6\\mesh_catchment_outlet_6_summary.json"", ""mesh_bundle_dir"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_6\\mesh_catchment_outlet_6_bundle"", ""mesh_figure"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_6\\mesh_catchment_outlet_6.png"", ""mesh_figure_regional"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_6\\mesh_catchment_outlet_6_regional.png"", ""simulation_reference_config"": ""C:\\codes\\HydroModPy-GH\\reporting\\regional_lab_pilot_2026-04-12\\child_configs\\run_s3_10km2_outlet_6_boussinesq_local_mesh_replay.toml""}",1,0,0,0,0,s3_future_reference,
s3_10km2_outlet_7,Strahler 3 10 km2 outlet 7,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,467550.0,6806475.0,10.0125,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,"{""mesh_output_mesh"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_7\\mesh_catchment_outlet_7.msh"", ""mesh_summary_json"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_7\\mesh_catchment_outlet_7_summary.json"", ""mesh_bundle_dir"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_7\\mesh_catchment_outlet_7_bundle"", ""mesh_figure"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_7\\mesh_catchment_outlet_7.png"", ""mesh_figure_regional"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_7\\mesh_catchment_outlet_7_regional.png"", ""simulation_reference_config"": ""C:\\codes\\HydroModPy-GH\\reporting\\regional_lab_pilot_2026-04-12\\child_configs\\run_s3_10km2_outlet_7_boussinesq_local_mesh_replay.toml""}",1,0,0,0,0,s3_future_reference,
s3_10km2_outlet_8,Strahler 3 10 km2 outlet 8,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,433275.0,6881025.0,10.006875,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,"{""mesh_output_mesh"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_8\\mesh_catchment_outlet_8.msh"", ""mesh_summary_json"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_8\\mesh_catchment_outlet_8_summary.json"", ""mesh_bundle_dir"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_8\\mesh_catchment_outlet_8_bundle"", ""mesh_figure"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_8\\mesh_catchment_outlet_8.png"", ""mesh_figure_regional"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_8\\mesh_catchment_outlet_8_regional.png"", ""simulation_reference_config"": ""C:\\codes\\HydroModPy-GH\\reporting\\regional_lab_pilot_2026-04-12\\child_configs\\run_s3_10km2_outlet_8_boussinesq_local_mesh_replay.toml""}",1,0,0,0,0,s3_future_reference,
s3_10km2_outlet_9,Strahler 3 10 km2 outlet 9,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,437550.0,6759075.0,10.006875,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,,regional_screening;mesh_ready;boussinesq_steady_ready;simulation_ready,"{""mesh_output_mesh"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_9\\mesh_catchment_outlet_9.msh"", ""mesh_summary_json"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_9\\mesh_catchment_outlet_9_summary.json"", ""mesh_bundle_dir"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_9\\mesh_catchment_outlet_9_bundle"", ""mesh_figure"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_9\\mesh_catchment_outlet_9.png"", ""mesh_figure_regional"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_catchment_runs\\s3_10km2\\mesh_outlet_9\\mesh_catchment_outlet_9_regional.png"", ""simulation_reference_config"": ""C:\\codes\\HydroModPy-GH\\reporting\\regional_lab_pilot_2026-04-12\\child_configs\\run_s3_10km2_outlet_9_boussinesq_local_mesh_replay.toml""}",1,0,0,0,0,s3_future_reference,
