zone_key,K_value,geology_name
941,0.44,"schistes noirs, brèches, calcschistes"
961,0.5,"marnes, argiles, grès, dolomies"
981,0.56,"marnes, dolomies, grès, argiles"
1001,0.62,"dolomies, cargneules, évaporites, schistes"
1021,0.68,"dolérites, ophites"
1041,0.74,"grès, conglomérats, quartzites"
1061,0.8,"marnes, évaporites, cargneules, dolomies"
1071,0.86,"argiles, cailloutis, sables"
1081,0.92,"dolomies, évaporites, cargneules, calcaires"
1101,0.98,"grès, conglomérats, schistes, charbons"
1121,1.04,"grès, conglomérats, schistes"
1141,1.1,non documenté
1151,1.16,"schistes, argiles, grès, conglomérats"
1161,1.22,"granitoïdes alcalins, volcanites acides"
1181,1.28,"grès, conglomérats, charbons, schistes"
1191,1.34,"grès, conglomérats, charbons"
1201,1.4,"grès, conglomérats, charbons, schistes"
1221,1.46,non documenté
1231,1.52,"monzogranites, granodiorites"
1241,1.58,"schistes, grès, wackes, charbons"
1261,1.64,"schistes, grès, charbons, conglomérats"
1281,1.7,"schistes, conglomérats, porphyroïdes, grès"
1301,1.76,leucogranites peralumineux
1321,1.82,leucogranites peralumineux
1331,1.88,leucogranites peralumineux
1341,1.94,"monzogranites, granodiorites"
1371,0.2,leucogranites peralumineux
1381,0.26,"schistes, calcaires, grès, ampélites"
1401,0.32,"schistes, calcaires, lydiennes, grès"
1421,0.38,"monzogranites, granodiorites"
1441,0.44,"monzogranites, granodiorites"
1471,0.5,"monzogranites, granodiorites"
1481,0.56,"calcaires, grès, schistes"
1501,0.62,"schistes, wackes, conglomérats, grès"
1511,0.68,"schistes, wackes, conglomérats, grès"
1521,0.74,"monzogranites, granodiorites"
1531,0.8,"gabbros, diorites"
1541,0.86,orthogneiss granitiques
1551,0.92,granitoïdes indifférenciés
1561,0.98,"schistes, grès, quartzites, calcaires"
1581,1.04,"schistes, grès, calcaires, wackes"
1591,1.1,"schistes, grès, calcaires"
1601,1.16,"schistes, grès, calcaires"
1611,1.22,"schistes, wackes, conglomérats, grès"
1621,1.28,"schistes, ampélites, quartzites, grès"
1631,1.34,"schistes, grès, ampélites"
1641,1.4,"schistes, quartzites, ampélites"
1651,1.46,"schistes, quartzites, calcaires"
1661,1.52,"grès, quartzites, schistes, calcaires"
1681,1.58,"quartzites, grès, arkoses, schistes"
1701,1.64,"quartzites, grès, schistes"
1711,1.7,"schistes, grès, calcaires, tuffites"
1721,1.76,"schistes, quartzites, calcaires, tuffites"
1731,1.82,"schistes, quartzites, ampélites"
1741,1.88,"schistes, grès, quartzites, phtanites"
1751,1.94,"schistes, grès, quartzites, phtanites"
1761,0.2,orthogneiss granitiques
1781,0.26,orthogneiss granitiques
1801,0.32,"monzogranites, métagranites"
1821,0.38,"microgranites, granophyres"
1841,0.44,"schistes, grès, arkoses, calcaires"
1851,0.5,"schistes, grès, calcaires, arkoses"
1861,0.56,migmatites paradérivées
1871,0.62,"grès, conglomérats, arkoses"
1891,0.68,"paragneiss, amphibolites, leptynites, orthogneiss"
1901,0.74,"leptynites, amphibolites, éclogites"
1921,0.8,non documenté
1941,0.86,"micaschistes, leptynites, amphibolites, paragneiss"
1961,0.92,"leucogranites, granodiorites"
1971,0.98,"microgranites, apligranites"
1981,1.04,orthogneiss granitiques
2011,1.1,orthogneiss granitiques
2021,1.16,"schistes, grès, wackes"
2041,1.22,"wackes, grès, schistes"
2051,1.28,"wackes, grès, schistes"
2061,1.34,"monzogranites, granodiorites"
2081,1.4,orthogneiss granitiques
2101,1.46,"schistes, grès, tuffites, phtanites"
2121,1.52,orthogneiss indifférenciés
2141,1.58,"schistes, métawackes, phtanites"
2151,1.64,"wackes, tuffites, phtanites, grès"
2161,1.7,granitoïdes indifférenciés
2191,1.76,"quartzdiorites, tonalites, granodiorites"
2201,1.82,"paragneiss, leptynites, amphibolites"
2211,1.88,"migmatites, amphibolites, anatexites"
2221,1.94,"micaschistes, paragneiss"
2231,0.2,"micaschistes, paragneiss"
2241,0.26,"micaschistes éclogitiques, paragneiss éclogitiques"
2271,0.32,métamorphites indifférenciées
2281,0.38,"gabbros, diorites"
2301,0.44,orthogneiss indifférenciés
2311,0.5,orthogneiss indifférenciés
2331,0.56,"sédiments, granitoïdes, métamorphites indifférenciées"
2341,0.62,impactite
2371,0.68,"ultrabasites, péridotites, serpentinites"
2381,0.74,"ultrabasites, péridotites, serpentinites"
SEA,5.0,Mer
