site_id,candidate_id,x,y,outlet_crs,area_km2,status,site_label,source,source_feature_id,flow_station_id,flow_station_label,flow_station_source,flow_station_x,flow_station_y,flow_station_crs,flow_station_record_years,station_to_outlet_distance_km,station_inside_or_at_outlet,major_dam_upstream,major_withdrawal_upstream,major_regulated_reach,geology_class,piezometer_id,piezometer_label,piezometer_source,piezometer_x,piezometer_y,piezometer_crs,piezometer_record_years,piezometer_distance_km,piezometer_inside_basin
hubeau_J8443010,J844301001,294190.0,6756894.0,EPSG:2154,290.4,delineated,La Claie a Saint-Marcel,hubeau_hydrometrie,J844301001,J844301001,La Claie a Saint-Marcel,hubeau,294190.0,6756894.0,EPSG:2154,20.0,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J8363110,J836311001,299877.0,6779635.0,EPSG:2154,300.25,delineated,L'Yvel a Loyat,hubeau_hydrometrie,J836311001,J836311001,L'Yvel a Loyat,hubeau,299877.499362,6779631.4026762,EPSG:2154,57.0,0.004,true,false,false,false,unknown,,,,,,,,,
hubeau_J1103010,J110301001,305562.0,6824701.0,EPSG:2154,103.5,delineated,L'Arguenon a Jugon-les-Lacs,hubeau_hydrometrie,J110301001,J110301001,L'Arguenon a Jugon-les-Lacs,hubeau,305562.0,6824701.0,EPSG:2154,53.0,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J1114010,J111401001,311559.0,6820098.0,EPSG:2154,112.9,delineated,La Rosette a Megrit,hubeau_hydrometrie,J111401001,J111401001,La Rosette a Megrit,hubeau,311559.0,6820098.0,EPSG:2154,51.8,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J7313010,J731301001,312118.0,6793547.0,EPSG:2154,132.2,delineated,Le Meu a Gael,hubeau_hydrometrie,J731301001,J731301001,Le Meu a Gael,hubeau,312118.0,6793547.0,EPSG:2154,30.4,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J0611610,J061161001,316723.0,6807409.0,EPSG:2154,143.5,delineated,La Rance a Saint-Jouan-de-l'Isle,hubeau_hydrometrie,J061161001,J061161001,La Rance a Saint-Jouan-de-l'Isle,hubeau,316723.0,6807409.0,EPSG:2154,40.3,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J8632410,J863241001,320630.0,6759813.0,EPSG:2154,344.85,delineated,L'Aff a Quelneuc,hubeau_hydrometrie,J863241001,J863241001,L'Aff a Quelneuc,hubeau,320630.0,6759813.0,EPSG:2154,56.3,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J0626610,J062661001,326085.0,6808872.0,EPSG:2154,83.3,delineated,Le Neal a Medreac,hubeau_hydrometrie,J062661001,J062661001,Le Neal a Medreac,hubeau,326085.0,6808872.0,EPSG:2154,57.1,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J7353010,J735301001,332399.0,6792427.0,EPSG:2154,473.1,delineated,Le Meu a Montfort-sur-Meu,hubeau_hydrometrie,J735301001,J735301001,Le Meu a Montfort-sur-Meu,hubeau,332399.0,6792427.0,EPSG:2154,56.3,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J7214010,J721401001,344966.0,6797471.0,EPSG:2154,91.71,delineated,La Flume a Pace,hubeau_hydrometrie,J721401001,J721401001,La Flume a Pace,hubeau,344966.0,6797471.0,EPSG:2154,46.9,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J7824010,J782401001,348547.0,6745196.0,EPSG:2154,111.9,delineated,L'Aron a Grand-Fougeray et a Mouais,hubeau_hydrometrie,J782401001,J782401001,L'Aron a Grand-Fougeray et a Mouais,hubeau,348547.0,6745196.0,EPSG:2154,56.2,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J0323010,J032301001,353995.0,6835360.0,EPSG:2154,62.7,delineated,Le Guyoult a Epiniac,hubeau_hydrometrie,J032301001,J032301001,Le Guyoult a Epiniac,hubeau,353995.0,6835360.0,EPSG:2154,57.1,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J7633010,J763301001,353996.0,6761228.0,EPSG:2154,404.1,delineated,Le Semnon a Bain-de-Bretagne,hubeau_hydrometrie,J763301001,J763301001,Le Semnon a Bain-de-Bretagne,hubeau,353996.0,6761228.0,EPSG:2154,54.2,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J7470001,J747000101,356210.0,6776479.0,EPSG:2154,89.5,delineated,L'Ise a Bourgbarre,hubeau_hydrometrie,J747000101,J747000101,L'Ise a Bourgbarre,hubeau,356210.0,6776479.0,EPSG:2154,9.5,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J7114010,J711401001,360584.0,6803930.0,EPSG:2154,111.46,delineated,L'Illet a Chasne-sur-Illet,hubeau_hydrometrie,J711401001,J711401001,L'Illet a Chasne-sur-Illet,hubeau,360584.0,6803930.0,EPSG:2154,34.8,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J7083110,J708311001,365841.0,6796495.0,EPSG:2154,151.29,delineated,La Veuvre [Le Chevre] a la Bouexiere,hubeau_hydrometrie,J708311001,J708311001,La Veuvre [Le Chevre] a la Bouexiere,hubeau,365841.0,6796495.0,EPSG:2154,63.0,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J0144010,J014401001,372023.0,6823398.0,EPSG:2154,82.1,delineated,La Loisance a Saint-Ouen-la-Rouerie,hubeau_hydrometrie,J014401001,J014401001,La Loisance a Saint-Ouen-la-Rouerie,hubeau,372023.0,6823398.0,EPSG:2154,56.4,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J0014010,J001401001,389395.0,6816620.0,EPSG:2154,64.45,delineated,Le Nancon a Lecousse,hubeau_hydrometrie,J001401001,J001401001,Le Nancon a Lecousse,hubeau,389395.0,6816620.0,EPSG:2154,42.9,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_I9122010,I912201002,399243.0,6828501.0,EPSG:2154,149.7,delineated,L'Airon a Louvigne-du-Desert et a Landivy,hubeau_hydrometrie,I912201002,I912201002,L'Airon a Louvigne-du-Desert et a Landivy,hubeau,399070.0,6827825.0,EPSG:2154,26.2,0.698,true,false,false,false,unknown,,,,,,,,,
